EstSize_7,ActSize_7,ActEffort_7,EstDef_7,ActDef_7,EstSize_8,ActSize_8,ActEffort_8,EstDef_8,ActDef_8,EstSize_9,ActSize_9,ActEffort_9,EstDef_9,ActDef_9,EstSize_10,ActSize_10,ActEffort_10,EstDef_10,ActDef_10
77,60,228,7,8,56,62,91,8,1,60,106,233,5,4,95,116,389,5,3
39,25,168,5,4,73,53,228,9,4,98,216,450,11,6,216,183,535,21,6
163,122,258,8,8,134,99,191,9,1,210,241,433,14,8,223,255,469,13,2
48,80,305,2,1,34,65,416,1,2,677,381,852,6,3,248,301,501,3,0
73,57,415,6,8,80,94,462,11,9,331,300,1648,37,11,289,317,1006,18,12
164,126,465,12,13,135,170,771,14,18,186,192,634,20,18,556,426,1225,56,25
81,87,300,7,8,128,120,374,12,15,156,165,583,17,13,242,223,759,23,8
35,72,159,3,0,68,112,185,0,3,79,67,173,1,5,292,231,362,9,5
8,34,88,1,4,37,42,89,30,1,62,69,226,7,13,147,134,395,24,5
113,88,139,11,6,81,99,120,6,5,127,239,277,8,12,311,272,336,17,10
223,248,159,7,6,124,130,243,5,6,198,155,177,9,6,175,351,249,8,4
470,219,198,44,13,242,160,157,14,5,266,558,374,13,15,755,727,523,26,23
139,121,154,8,3,95,122,175,2,6,170,179,264,7,11,300,494,380,15,21
63,103,294,5,6,58,75,379,4,11,306,218,613,29,27,128,217,812,14,27
124,90,97,10,6,124,126,68,6,2,129,147,199,4,9,132,330,160,6,6
90,75,133,3,5,85,100,107,6,2,154,329,259,6,5,470,312,312,11,8
43,47,335,9,7,32,42,269,4,9,64,50,355,12,7,197,200,883,32,12
21,41,350,4,7,46,73,453,8,8,60,76,301,8,10,139,180,598,18,12
65,78,230,6,7,105,80,275,9,3,100,106,245,4,1,110,78,415,5,2
28,60,280,4,13,77,95,215,17,5,111,107,305,13,14,157,229,538,20,17
31,44,225,2,5,42,61,236,10,4,97,83,248,9,7,129,158,351,13,7
94,21,327,81,24,68,72,443,77,10,61,96,457,23,11,93,105,774,22,19
110,139,904,16,13,119,108,694,13,16,171,84,993,22,36,216,222,2075,43,43
71,59,492,14,14,61,52,279,14,6,97,132,592,17,19,256,279,1167,41,38
76,59,258,16,4,26,14,39,2,0,58,55,346,3,5,66,122,424,6,6
25,22,124,2,2,32,38,96,2,1,98,139,360,5,9,128,154,547,8,6
150,146,374,17,9,72,116,186,8,5,118,402,471,12,9,200,244,448,10,8
29,70,187,3,4,33,59,177,4,4,97,167,436,3,9,180,170,606,4,10
178,230,536,15,19,150,144,266,12,10,222,399,914,17,22,426,492,1073,28,30
54,94,112,6,3,2,25,66,0,2,124,82,113,5,1,73,115,146,2,4
57,50,154,21,9,37,33,71,6,3,86,116,208,12,16,85,90,198,12,12
48,36,105,4,5,26,35,64,4,3,36,122,163,4,3,61,81,280,4,5
47,57,158,3,2,31,23,133,1,2,69,51,233,4,3,69,99,193,4,3
40,101,187,5,9,39,32,71,3,7,76,134,232,9,15,199,239,366,24,24
26,51,148,3,3,43,31,38,3,0,147,141,256,6,4,121,124,223,4,5
55,59,137,4,3,22,25,75,1,2,57,80,141,3,3,139,91,209,6,3
53,68,129,3,4,36,44,93,2,2,72,90,113,4,4,116,140,135,6,4
88,92,133,4,3,40,49,57,1,1,164,168,125,4,1,151,161,143,2,2
87,136,228,4,4,55,60,94,2,0,162,174,229,4,8,103,105,156,4,5
74,84,195,3,3,51,41,60,2,0,97,110,197,3,4,152,124,263,4,6
67,74,108,7,5,25,44,62,2,3,98,142,139,7,6,124,158,182,7,7
62,60,274,7,5,30,24,84,3,1,95,50,266,6,2,67,100,206,4,1
65,65,178,10,5,26,34,97,2,0,67,39,260,4,6,104,110,262,9,5
75,62,109,4,3,28,28,46,1,0,128,170,166,3,4,129,130,178,3,2
65,68,111,3,4,20,32,42,1,1,61,81,104,3,2,126,131,161,4,3
86,60,200,6,5,23,26,84,2,3,75,70,179,8,6,110,111,244,10,5
115,33,83,6,4,55,25,52,7,0,81,76,177,5,7,27,87,169,2,4
54,28,138,8,1,44,36,92,2,1,66,109,186,2,2,79,121,181,2,1
40,35,169,6,5,19,16,66,4,1,95,82,315,12,3,90,77,153,5,2
125,134,416,12,8,104,188,240,10,9,182,174,313,15,5,344,349,1155,26,29
19,17,97,4,4,23,25,104,5,2,52,69,220,7,7,178,172,255,21,4
42,84,150,4,7,48,52,88,4,1,96,101,180,6,6,112,115,254,7,8
29,37,106,3,4,51,35,130,2,3,81,68,151,8,3,206,186,177,15,3
773,357,410,34,4,163,185,214,2,3,426,571,519,6,7,634,877,1129,8,9
27,46,129,4,4,32,34,99,3,3,80,43,145,7,4,220,138,209,20,4
37,86,83,2,5,42,41,52,2,1,129,263,193,6,3,255,271,194,6,10
57,26,204,8,7,32,21,71,8,2,52,69,324,10,6,39,51,263,4,7
49,84,89,4,5,60,43,59,3,7,159,237,180,15,3,275,241,190,11,10
70,44,118,5,5,34,39,74,4,2,169,176,133,14,4,174,197,228,9,6
50,34,204,3,4,35,33,104,4,2,46,41,369,4,5,47,49,211,5,3
13,29,86,1,4,41,34,85,6,2,51,54,119,5,1,118,99,228,7,3
54,55,188,6,4,27,31,90,2,1,49,122,259,3,2,53,78,357,2,5
159,116,165,9,3,47,30,66,1,3,75,113,172,3,2,112,161,280,3,3
116,131,369,12,4,27,27,210,1,3,143,126,496,6,3,234,299,519,8,3
115,106,194,12,5,47,40,137,2,3,112,94,129,6,2,196,204,307,8,1
47,52,115,2,1,33,35,77,1,0,113,125,176,1,2,162,160,216,2,2
29,28,109,4,3,28,29,88,3,0,98,119,272,5,6,156,144,192,8,0
33,21,135,3,4,23,34,123,4,1,42,46,161,4,1,96,85,183,6,5
136,63,204,10,12,48,36,135,9,3,128,182,332,19,9,166,149,332,14,7
197,128,361,8,2,113,97,295,2,2,196,237,589,4,7,263,362,750,6,10
32,52,77,6,3,27,42,82,2,4,247,141,183,18,6,176,69,161,10,8
49,48,102,4,2,43,42,67,2,0,47,87,165,2,3,84,36,152,3,2
76,91,128,3,2,29,49,55,0,1,124,142,164,3,3,129,172,208,3,3
59,69,96,3,1,31,29,29,1,0,78,87,134,1,4,128,108,153,3,1
57,123,129,7,8,51,63,84,3,2,67,91,145,3,6,148,173,212,9,9
74,87,213,8,2,50,31,54,1,1,109,156,331,3,2,104,186,300,2,2
73,61,132,6,4,55,26,111,4,1,52,77,128,3,2,122,126,299,5,4
27,21,208,6,3,32,22,76,4,0,70,74,375,6,4,163,138,180,10,3
54,80,112,6,4,48,48,50,2,0,74,133,138,3,1,136,208,216,2,3
29,26,193,5,5,4,17,63,1,0,53,122,290,7,8,104,97,229,8,7
129,104,242,11,8,24,25,112,2,3,88,167,227,8,7,117,147,380,8,6
53,89,102,3,1,49,45,60,1,1,112,280,180,2,1,187,222,270,1,1
53,110,175,4,10,33,31,62,3,2,216,176,187,18,2,312,325,181,14,5
108,77,114,14,6,42,35,88,4,4,90,95,193,8,8,102,92,254,10,16
46,61,165,5,3,28,33,53,1,1,157,165,191,7,1,218,286,215,4,1
60,87,145,21,6,58,46,107,4,1,157,160,156,8,10,118,155,198,6,17
62,86,195,43,0,41,30,77,0,4,196,251,221,7,0,230,230,246,5,1
64,69,102,0,5,29,34,72,1,2,52,124,162,5,5,72,98,302,4,5
70,97,168,3,4,107,124,201,4,7,102,124,176,5,6,218,161,368,11,9
71,57,100,6,5,21,27,58,2,2,117,146,148,13,4,138,125,147,8,2
41,29,82,2,2,50,74,162,3,4,72,118,184,5,7,82,134,227,6,10
41,72,186,5,5,27,28,46,2,2,42,75,200,3,9,41,163,258,4,10
81,123,140,5,5,22,37,55,1,2,175,219,233,7,3,182,188,206,5,3
73,89,72,6,3,48,49,45,2,1,73,83,159,2,2,101,135,221,3,3
123,116,396,20,5,51,83,266,2,4,199,345,404,9,8,224,237,509,7,10
32,43,431,3,1,36,58,412,1,1,170,182,1859,3,5,211,259,863,5,2
19,28,216,1,1,35,66,375,1,1,119,122,936,2,4,246,296,705,7,6
57,97,270,7,6,39,150,222,2,13,105,221,581,9,28,274,368,524,30,12
163,178,373,16,14,142,134,419,11,9,221,301,649,16,20,449,373,729,32,41
33,40,211,3,0,42,57,142,0,0,57,112,305,0,5,180,256,322,4,5
117,110,229,12,18,94,54,136,15,9,95,77,201,16,11,255,236,352,41,16
71,86,190,10,7,31,58,122,2,6,163,117,310,14,12,181,192,277,17,16
66,85,192,6,8,111,158,270,11,15,171,133,350,17,15,208,221,496,21,20
118,75,204,8,4,95,96,201,5,5,143,195,339,8,13,127,152,369,7,12
192,200,302,21,16,110,99,265,9,20,157,158,273,20,13,259,353,608,31,47
46,76,281,9,17,56,103,341,13,17,59,133,582,11,22,126,184,577,22,27
108,78,201,4,4,66,29,84,3,0,51,37,129,2,3,4,158,330,0,3
63,48,267,6,8,83,111,298,14,10,123,148,470,14,20,287,219,603,36,19
191,108,247,19,10,75,118,307,7,10,153,186,266,14,8,240,245,294,16,7
69,76,176,2,2,204,236,277,5,1,137,120,196,1,1,298,180,347,3,2
65,60,126,8,3,91,82,212,5,4,104,185,366,5,9,212,207,532,12,9
89,59,310,9,8,79,194,378,11,7,85,207,634,5,6,146,195,405,7,9
137,132,284,5,2,54,71,151,1,0,82,302,528,1,5,148,188,444,2,2
205,35,310,14,12,98,88,434,34,6,58,155,434,8,9,254,358,665,31,29
214,239,255,1,2,235,486,672,2,14,737,492,446,16,5,99,448,644,17,6
216,195,409,16,9,86,159,376,0,0,275,204,724,15,19,697,289,918,49,16
50,54,247,8,5,40,75,179,4,8,75,97,321,7,9,150,142,479,15,13
111,124,382,10,6,116,114,174,6,7,158,106,287,9,11,175,129,215,12,2
289,25,185,21,6,101,66,156,24,4,270,248,364,30,10,208,229,460,12,9
63,82,161,5,2,36,50,107,1,1,121,163,272,3,6,204,246,347,6,4
42,49,284,4,4,38,43,136,3,2,64,63,279,4,3,123,132,438,7,5
68,105,267,5,16,76,77,127,12,4,137,212,418,15,15,180,195,402,16,14
62,92,233,5,9,81,71,159,8,4,157,192,336,12,8,168,193,378,10,9
